ateco_code,risk_level,description
01.11.10,medio,Coltivazione di cereali (escluso il riso) RISCHIO
01.11.20,medio,Coltivazione di semi oleosi RISCHIO
01.11.30,medio,Coltivazione di legumi da granella RISCHIO
01.11.40,medio,"Coltivazioni miste di cereali, legumi da granella e semi oleosi RISCHIO"
01.12.00,medio,Coltivazione di riso RISCHIO
01.13.30,medio,Coltivazione di barbabietola da zucchero RISCHIO
01.13.40,medio,Coltivazione di patate RISCHIO
01.14.00,medio,Coltivazione di canna da zucchero RISCHIO
01.15.00,medio,Coltivazione di tabacco RISCHIO
01.16.00,medio,Coltivazione di piante per la preparazione di fibre tessili RISCHIO
01.19.10,medio,Coltivazione di fiori in piena aria RISCHIO
01.19.20,medio,Coltivazione di fiori in colture protette RISCHIO
01.19.90,medio,Coltivazione di piante da foraggio e di altre colture non permanenti RISCHIO
01.21.00,medio,Coltivazione di uva RISCHIO
01.22.00,medio,Coltivazione di frutta di origine tropicale e subtropicale RISCHIO
01.23.00,medio,Coltivazione di agrumi RISCHIO
01.24.00,medio,Coltivazione di pomacee e frutta a nocciolo RISCHIO
01.25.00,medio,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio RISCHIO"
01.26.00,medio,Coltivazione di frutti oleosi RISCHIO
01.27.00,medio,Coltivazione di piante per la produzione di bevande RISCHIO
01.28.00,medio,"Coltivazione di spezie, piante aromatiche e farmaceutiche RISCHIO"
01.29.00,medio,Coltivazione di altre colture permanenti (inclusi alberi di Natale) RISCHIO
01.30.00,medio,Riproduzione delle piante RISCHIO
01.41.00,medio,"Allevamento di bovini e bufale da latte, produzione di latte crudo RISCHIO"
01.42.00,medio,Allevamento di bovini e bufalini da carne RISCHIO
01.43.00,medio,Allevamento di cavalli e altri equini RISCHIO
01.44.00,medio,Allevamento di cammelli e camelidi RISCHIO
01.45.00,medio,Allevamento di ovini e caprini RISCHIO
01.46.00,medio,Allevamento di suini RISCHIO
01.47.00,medio,Allevamento di pollame RISCHIO
01.49.10,medio,Allevamento di conigli RISCHIO
01.49.20,medio,Allevamento di animali da pelliccia RISCHIO
01.49.30,medio,Apicoltura RISCHIO
01.49.40,medio,Bachicoltura RISCHIO
01.49.90,medio,Allevamento di altri animali nca RISCHIO
01.50.00,medio,Coltivazioni agricole associate all'allevamento di animali: attività mista RISCHIO
01.61.00,medio,Attività di supporto alla produzione vegetale RISCHIO
01.62.01,medio,Attività dei maniscalchi RISCHIO
01.62.09,medio,Altre attività di supporto alla produzione animale (esclusi i servizi veterinari) RISCHIO
01.63.00,medio,Attività che seguono la raccolta RISCHIO
01.64.01,medio,Pulitura e cernita di semi e granaglie RISCHIO
01.64.09,medio,Altre lavorazioni delle sementi per la semina RISCHIO
01.70.00,medio,"Caccia, cattura di animali e servizi connessi RISCHIO"
02.10.00,medio,Silvicoltura e altre attività forestali RISCHIO
02.20.00,medio,Utilizzo di aree forestali RISCHIO
02.30.00,medio,Raccolta di prodotti selvatici non legnosi RISCHIO
02.40.00,medio,Servizi di supporto per la silvicoltura RISCHIO
03.11.00,medio,Pesca in acque marine e lagunari e servizi connessi RISCHIO
03.12.00,medio,Pesca in acque dolci e servizi connessi RISCHIO
03.21.00,medio,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi RISCHIO"
03.22.00,medio,Acquacoltura in acque dolci e servizi connessi RISCHIO
05.10.00,alto,Estrazione di antracite e litantrace RISCHIO
05.20.00,alto,Estrazione di lignite RISCHIO
06.10.00,alto,Estrazione di petrolio greggio RISCHIO
06.20.00,alto,Estrazione di gas naturale RISCHIO
07.10.00,alto,Estrazione di minerali metalliferi ferrosi RISCHIO
07.21.00,alto,Estrazione di minerali di uranio e di torio RISCHIO
07.29.00,alto,Estrazione di altri minerali metalliferi non ferrosi RISCHIO
08.11.00,alto,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta RISCHIO"
08.12.00,alto,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino RISCHIO"
08.91.00,alto,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti RISCHIO
08.92.00,alto,Estrazione di torba RISCHIO
08.93.00,alto,Estrazione di sale RISCHIO
08.99.01,alto,Estrazione di asfalto e bitume naturale RISCHIO
08.99.09,alto,Estrazione di pomice e di altri minerali nca RISCHIO
09.10.00,alto,Attività di supporto all'estrazione di petrolio e di gas naturale RISCHIO
09.90.09,alto,Attività di supporto all'estrazione di altri minerali nca RISCHIO
10.11.00,alto,Produzione di carne non di volatili e di prodotti della macellazione (attività dei RISCHIO
10.12.00,alto,Produzione di carne di volatili e prodotti della loro macellazione (attività dei RISCHIO
10.13.00,alto,Produzione di prodotti a base di carne (inclusa la carne di volatili) RISCHIO
10.31.00,alto,Lavorazione e conservazione delle patate RISCHIO
10.32.00,alto,Produzione di succhi di frutta e di ortaggi RISCHIO
10.39.00,alto,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di RISCHIO
10.41.10,alto,Produzione di olio di oliva da olive prevalentemente non di produzione propria RISCHIO
10.41.30,alto,Produzione di oli e grassi animali grezzi o raffinati RISCHIO
10.42.00,alto,Produzione di margarina e di grassi commestibili simili RISCHIO
10.51.10,alto,Trattamento igienico del latte RISCHIO
10.51.20,alto,Produzione dei derivati del latte RISCHIO
10.52.00,alto,Produzione di gelati senza vendita diretta al pubblico RISCHIO
10.61.10,alto,Molitura del frumento RISCHIO
10.61.20,alto,Molitura di altri cereali RISCHIO
10.61.30,alto,Lavorazione del riso RISCHIO
10.61.40,alto,Altre lavorazioni di semi e granaglie RISCHIO
10.62.00,alto,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais) RISCHIO
10.71.10,alto,Produzione di prodotti di panetteria freschi RISCHIO
10.71.20,alto,Produzione di pasticceria fresca RISCHIO
10.72.00,alto,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati RISCHIO"
10.73.00,alto,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili RISCHIO"
10.81.00,alto,Produzione di zucchero RISCHIO
10.82.00,alto,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie RISCHIO"
10.83.01,alto,Lavorazione del caffè RISCHIO
10.83.02,alto,Lavorazione del tè e di altri preparati per infusi RISCHIO
10.84.00,alto,Produzione di condimenti e spezie RISCHIO
10.85.01,alto,Produzione di piatti pronti a base di carne e pollame RISCHIO
10.85.02,alto,"Produzione di piatti pronti a base di pesce, inclusi fish and chips RISCHIO"
10.85.03,alto,Produzione di piatti pronti a base di ortaggi RISCHIO
10.85.04,alto,Produzione di pizza confezionata RISCHIO
10.85.05,alto,Produzione di piatti pronti a base di pasta RISCHIO
10.85.09,alto,Produzione di pasti e piatti pronti di altri prodotti alimentari RISCHIO
10.86.00,alto,Produzione di preparati omogeneizzati e di alimenti dietetici RISCHIO
10.89.01,alto,Produzione di estratti e succhi di carne RISCHIO
10.89.09,alto,Produzione di altri prodotti alimentari nca RISCHIO
10.91.00,alto,Produzione di mangimi per l'alimentazione degli animali da allevamento RISCHIO
10.92.00,alto,Produzione di prodotti per l'alimentazione degli animali da compagnia RISCHIO
11.01.00,alto,"Distillazione, rettifica e miscelatura degli alcolici RISCHIO"
11.02.10,alto,Produzione di vini da tavola e v.q.p.r.d. RISCHIO
11.02.20,alto,Produzione di vino spumante e altri vini speciali RISCHIO
11.03.00,alto,Produzione di sidro e di altri vini a base di frutta RISCHIO
11.04.00,alto,Produzione di altre bevande fermentate non distillate RISCHIO
11.05.00,alto,Produzione di birra RISCHIO
11.06.00,alto,Produzione di malto RISCHIO
11.07.00,alto,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia RISCHIO"
12.00.00,alto,Industria del tabacco RISCHIO
13.10.00,alto,Preparazione e filatura di fibre tessili RISCHIO
13.20.00,alto,Tessitura RISCHIO
13.30.00,alto,"Finissaggio dei tessili, degli articoli di vestiario e attività similari RISCHIO"
13.91.00,alto,Fabbricazione di tessuti a maglia RISCHIO
13.92.10,alto,"Confezionamento di biancheria da letto, da tavola e per l'arredamento RISCHIO"
13.92.20,alto,Fabbricazione di articoli in materie tessili nca RISCHIO
13.93.00,alto,Fabbricazione di tappeti e moquette RISCHIO
13.94.00,alto,"Fabbricazione di spago, corde, funi e reti RISCHIO"
13.96.10,alto,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili RISCHIO"
13.96.20,alto,Fabbricazione di altri articoli tessili tecnici ed industriali RISCHIO
13.99.10,alto,Fabbricazione di ricami RISCHIO
13.99.20,alto,"Fabbricazione di tulle, pizzi e merletti RISCHIO"
13.99.90,alto,Fabbricazione di feltro e articoli tessili diversi RISCHIO
14.11.00,alto,Confezione di abbigliamento in pelle e similpelle RISCHIO
14.12.00,alto,"Confezione di camici, divise ed altri indumenti da lavoro RISCHIO"
14.13.10,alto,Confezione in serie di abbigliamento esterno RISCHIO
14.13.20,alto,Sartoria e confezione su misura di abbigliamento esterno RISCHIO
14.14.00,alto,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima RISCHIO"
14.19.10,alto,Confezioni varie e accessori per l'abbigliamento RISCHIO
14.19.21,alto,Fabbricazione di calzature realizzate in materiale tessile senza suole applicate RISCHIO
14.19.29,alto,Confezioni di abbigliamento sportivo o di altri indumenti particolari RISCHIO
14.20.00,alto,Confezione di articoli in pelliccia RISCHIO
14.31.00,alto,Fabbricazione di articoli di calzetteria in maglia RISCHIO
14.39.00,alto,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia RISCHIO"
15.11.00,alto,Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce RISCHIO
15.12.01,alto,Fabbricazione di frustini e scudisci per equitazione RISCHIO
15.12.09,alto,"Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria RISCHIO"
15.20.10,alto,Fabbricazione di calzature RISCHIO
15.20.20,alto,Fabbricazione di parti in cuoio per calzature RISCHIO
16.10.00,alto,Taglio e piallatura del legno RISCHIO
16.21.00,alto,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno RISCHIO
16.22.00,alto,Fabbricazione di pavimenti in parquet assemblato RISCHIO
16.23.10,alto,Fabbricazione di porte e finestre in legno (escluse porte blindate) RISCHIO
16.23.20,alto,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia RISCHIO
16.24.00,alto,Fabbricazione di imballaggi in legno RISCHIO
16.29.11,alto,Fabbricazione di parti in legno per calzature RISCHIO
16.29.12,alto,"Fabbricazione di manici di ombrelli, bastoni e simili RISCHIO"
16.29.19,alto,Fabbricazione di altri prodotti vari in legno (esclusi i mobili) RISCHIO
16.29.20,alto,Fabbricazione dei prodotti della lavorazione del sughero RISCHIO
16.29.30,alto,Fabbricazione di articoli in paglia e materiali da intreccio RISCHIO
16.29.40,alto,Laboratori di corniciai RISCHIO
17.11.00,alto,Fabbricazione di pasta-carta RISCHIO
17.12.00,alto,Fabbricazione di carta e cartone RISCHIO
17.22.00,alto,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di RISCHIO
17.23.09,alto,Fabbricazione di altri prodotti cartotecnici RISCHIO
17.24.00,alto,Fabbricazione di carta da parati RISCHIO
17.29.00,alto,Fabbricazione di altri articoli di carta e cartone RISCHIO
18.11.00,alto,Stampa di giornali RISCHIO
18.12.00,alto,Altra stampa RISCHIO
18.13.00,alto,Lavorazioni preliminari alla stampa e ai media RISCHIO
18.14.00,alto,Legatoria e servizi connessi RISCHIO
18.20.00,alto,Riproduzione di supporti registrati RISCHIO
19.10.01,alto,Fabbricazione di pece e coke di pece RISCHIO
19.10.09,alto,Fabbricazione di altri prodotti di cokeria RISCHIO
19.20.10,alto,Raffinerie di petrolio RISCHIO
19.20.20,alto,Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica) RISCHIO
19.20.30,alto,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento RISCHIO
19.20.40,alto,"Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale RISCHIO"
19.20.90,alto,Fabbricazione di altri prodotti petroliferi raffinati RISCHIO
20.11.00,alto,Fabbricazione di gas industriali RISCHIO
20.12.00,alto,Fabbricazione di coloranti e pigmenti RISCHIO
20.13.01,alto,Fabbricazione di uranio e torio arricchito RISCHIO
20.13.09,alto,Fabbricazione di altri prodotti chimici di base inorganici RISCHIO
20.14.01,alto,Fabbricazione di alcol etilico da materiali fermentati RISCHIO
20.14.09,alto,Fabbricazione di altri prodotti chimici di base organici nca RISCHIO
20.15.00,alto,Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di RISCHIO
20.16.00,alto,Fabbricazione di materie plastiche in forme primarie RISCHIO
20.17.00,alto,Fabbricazione di gomma sintetica in forme primarie RISCHIO
20.20.00,alto,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i RISCHIO
20.30.00,alto,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici RISCHIO"
20.41.20,alto,Fabbricazione di specialità chimiche per uso domestico e per manutenzione RISCHIO
20.42.00,alto,"Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili RISCHIO"
20.51.01,alto,Fabbricazione di fiammiferi RISCHIO
20.51.02,alto,Fabbricazione di articoli esplosivi RISCHIO
20.52.00,alto,Fabbricazione di colle RISCHIO
20.53.00,alto,Fabbricazione di oli essenziali RISCHIO
20.59.10,alto,Fabbricazione di prodotti chimici per uso fotografico RISCHIO
20.59.30,alto,Trattamento chimico degli acidi grassi RISCHIO
20.59.50,alto,Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non RISCHIO
